anioIngreso,anioEgreso
10/15/2020,08/26/2018
04/20/2020,04/28/2018
03/20/2021,05/18/2020
03/09/2022,11/18/2019
07/28/2021,07/28/2020
03/26/2018,02/23/2020
07/17/2020,02/08/2020
05/26/2019,05/10/2019
03/17/2021,10/11/2018
10/05/2018,12/10/2021
11/28/2022,10/02/2021
12/15/2019,09/08/2018
09/11/2022,09/26/2020
10/01/2019,04/17/2021
06/29/2018,09/26/2018
09/08/2018,02/09/2018
05/16/2022,12/31/2018
05/04/2018,01/30/2019
12/09/2019,10/14/2021
09/19/2022,09/01/2021
08/24/2021,07/04/2018
06/17/2021,12/09/2022
07/31/2021,07/23/2022
06/18/2022,06/30/2018
11/26/2020,10/03/2021
12/09/2019,12/24/2021
12/01/2020,06/23/2019
06/04/2018,05/06/2018
03/13/2019,11/16/2020
12/20/2020,12/16/2020
